iter	Passed	Remaining
896	4601	528
897	4605	523
898	4610	517
899	4614	512
900	4619	507
901	4623	502
902	4628	497
903	4633	492
904	4637	486
905	4643	481
906	4647	476
907	4652	471
908	4657	466
909	4662	461
910	4666	455
911	4671	450
912	4675	445
913	4679	440
914	4683	435
915	4689	430
916	4694	424
917	4699	419
918	4703	414
919	4708	409
920	4713	404
921	4717	399
922	4721	393
923	4725	388
924	4729	383
925	4733	378
926	4738	373
927	4742	367
928	4746	362
929	4750	357
930	4754	352
931	4759	347
932	4763	342
933	4767	336
934	4772	331
935	4776	326
936	4780	321
937	4785	316
938	4790	311
939	4794	306
940	4798	300
941	4803	295
942	4807	290
943	4811	285
944	4815	280
945	4819	275
946	4823	269
947	4827	264
948	4832	259
949	4837	254
950	4842	249
951	4846	244
952	4850	239
953	4854	234
954	4858	228
955	4863	223
956	4867	218
957	4871	213
958	4875	208
959	4880	203
960	4884	198
961	4888	193
962	4892	187
963	4896	182
964	4900	177
965	4904	172
966	4908	167
967	4913	162
968	4916	157
969	4921	152
970	4925	147
971	4930	142
972	4934	136
973	4939	131
974	4943	126
975	4947	121
976	4951	116
977	4956	111
978	4960	106
979	4964	101
980	4968	96
981	4972	91
982	4977	86
983	4982	81
984	4987	75
985	4992	70
986	4996	65
987	5001	60
988	5005	55
989	5010	50
990	5014	45
991	5018	40
992	5023	35
993	5027	30
994	5031	25
995	5036	20
996	5040	15
997	5045	10
998	5049	5
999	5054	0
