iter	RMSE
177	50.73946597
178	50.63098299
179	50.58954327
180	50.53973943
181	50.28373215
182	50.20371695
183	50.09785435
184	50.06884829
185	49.89619271
186	49.82621242
187	49.73433963
188	49.6545985
189	49.63048046
190	49.40441199
191	49.3803857
192	49.33297749
193	49.30466746
194	49.06274076
195	48.97982973
196	48.80911648
197	48.64552895
198	48.53803894
199	48.33951852
200	48.22210909
201	47.99955078
202	47.8880674
203	47.71709772
204	47.44557408
205	47.42116649
206	47.39674569
207	47.32233369
208	47.19564051
209	47.07410534
210	46.84886261
211	46.79283292
212	46.75943742
213	46.59235267
214	46.56100651
215	46.51910459
216	46.34565049
217	46.18728767
218	45.99973373
219	45.80390732
220	45.71589448
221	45.59927891
222	45.50128657
223	45.39706997
224	45.33368682
225	45.30311801
226	45.2814273
227	45.2194531
228	45.13634573
229	44.98613916
230	44.79812198
231	44.69963369
232	44.61974301
233	44.53383209
234	44.25439101
235	44.15921171
236	44.03954368
237	43.93231938
238	43.77198256
239	43.50202206
240	43.46499156
241	43.33948573
242	43.23127948
243	43.19002112
244	43.05519413
245	42.96992612
246	42.94535722
247	42.84686863
248	42.74881704
249	42.64776713
250	42.39056015
251	42.29410045
252	42.24311434
253	42.05718515
254	41.91562464
255	41.73371599
256	41.64452656
257	41.4634888
258	41.31485298
259	41.29453256
260	41.18350429
261	41.05961985
262	40.92483556
263	40.80433326
264	40.70757203
265	40.68763969
266	40.66603587
267	40.57781994
268	40.47397244
269	40.26764873
270	40.11366697
271	39.95936189
272	39.75090332
273	39.58715296
274	39.47426625
275	39.45821599
276	39.30327873
277	39.28204231
278	39.2064283
279	39.18595423
280	39.15920937
281	39.03359418
282	38.91831822
283	38.89982027
284	38.88349587
285	38.81919167
286	38.63681122
287	38.45328459
288	38.35000265
289	38.28590042
290	38.07387441
291	37.88071239
292	37.81880029
293	37.80365593
294	37.78830265
295	37.70095545
296	37.56212915
297	37.45714337
298	37.27707458
299	37.20635365
300	37.05462171
301	36.87467453
302	36.80167566
303	36.75345939
304	36.66828823
305	36.56076873
306	36.54676613
307	36.37942209
308	36.26071404
309	36.24762697
310	36.15326008
311	35.98174235
312	35.93544299
313	35.89865755
314	35.74995412
315	35.58580363
316	35.47130502
317	35.44206668
318	35.32073556
319	35.30811952
320	35.21516335
321	35.20199715
322	35.06758031
323	34.98133042
324	34.87205926
325	34.79845712
326	34.72717905
327	34.61869823
328	34.47331098
329	34.37038646
330	34.26074296
331	34.12446538
332	34.07197563
333	34.06053282
334	33.99581877
335	33.83958757
336	33.79624585
337	33.65506479
338	33.55354059
339	33.48081642
340	33.34157873
341	33.32855518
342	33.31706379
343	33.20992755
344	33.14438801
345	33.0575018
346	33.04490949
347	33.03349481
348	32.89322076
349	32.79772487
350	32.70321275
351	32.62230555
352	32.61184324
353	32.57226699
354	32.55417293
355	32.50096998
356	32.49024706
357	32.42772907
358	32.3081256
359	32.29574755
360	32.19975296
361	32.11066037
362	32.10129008
363	31.9707349
364	31.84992956
365	31.83990821
366	31.75605999
367	31.74618701
368	31.63740194
369	31.5711125
370	31.55510921
371	31.54332227
372	31.42699258
373	31.30816113
374	31.19985639
375	31.08199755
376	30.96298907
377	30.85683901
378	30.79635325
379	30.7180017
380	30.63276489
381	30.52974105
382	30.45945968
383	30.40491786
384	30.38395011
385	30.318045
386	30.30763752
387	30.22840514
388	30.11473134
389	30.05878853
390	29.97437599
391	29.85289604
392	29.7961694
393	29.75365909
394	29.70034003
395	29.64628096
396	29.55574209
397	29.45748569
398	29.35132451
399	29.34196596
400	29.26473561
401	29.19558723
402	29.10511936
403	29.00178051
404	28.91101592
405	28.83779408
406	28.77927916
407	28.71670216
408	28.62967579
409	28.52477812
410	28.42229914
411	28.36397183
412	28.29514536
413	28.20561726
414	28.19634557
415	28.11463386
416	28.04337494
417	27.96983017
418	27.96213697
419	27.95339844
420	27.86793656
421	27.76712215
422	27.70029813
423	27.60711605
424	27.55369332
425	27.49548863
426	27.41690002
427	27.33850462
428	27.21427339
429	27.11414224
430	27.02591363
431	26.93800613
432	26.88559236
433	26.87780635
434	26.86947423
435	26.7891933
436	26.73635925
437	26.72694082
438	26.67222318
439	26.60307525
440	26.56369698
441	26.47854877
442	26.42959645
443	26.3562232
444	26.30072238
445	26.2924906
446	26.28355636
447	26.25573085
448	26.18240983
449	26.16961623
450	26.1619778
451	26.08263958
452	26.00040712
453	25.91673859
454	25.8172626
455	25.74156464
456	25.69124479
457	25.6820979
458	25.6750912
459	25.60599221
460	25.55053817
461	25.50423268
462	25.42271488
463	25.36961276
464	25.34227995
465	25.29836341
466	25.22735194
467	25.1620588
468	25.07356066
469	25.01922802
470	25.01098923
471	24.94595376
472	24.88614588
473	24.8798719
474	24.84144955
475	24.8244136
476	24.80802194
477	24.76048
478	24.75441012
479	24.69138996
480	24.64161841
481	24.62622952
482	24.5623867
483	24.48996275
484	24.3879166
485	24.32194757
486	24.31581901
487	24.30950698
488	24.2328753
489	24.16010387
490	24.09428383
491	24.07024657
492	24.01737151
493	24.01105593
494	23.97346418
495	23.96799242
496	23.94400001
497	23.90559581
498	23.88258115
499	23.84315061
500	23.78864788
501	23.74630229
502	23.67004433
503	23.64002797
504	23.61981362
505	23.60663694
506	23.5308609
507	23.46356933
508	23.44386946
509	23.40152109
510	23.38561092
511	23.33970852
512	23.32418092
513	23.27729788
514	23.27136368
515	23.22799237
516	23.15565728
517	23.09948436
518	23.03074817
519	22.96156915
520	22.92836687
521	22.88308961
522	22.8438929
523	22.83900891
524	22.75729113
525	22.75168965
526	22.68821492
527	22.65087632
528	22.58443556
529	22.56579239
530	22.53637305
531	22.50798575
532	22.46179625
533	22.40178792
534	22.34991036
535	22.27246862
536	22.21223401
537	22.14971425
538	22.08891454
539	22.04373625
540	21.98611587
541	21.93074752
542	21.90227055
543	21.84982066
544	21.83054553
545	21.77043846
546	21.6952226
547	21.65744957
548	21.62784333
549	21.58722966
550	21.5516833
551	21.51960137
552	21.5140372
553	21.46398097
554	21.43817196
555	21.40732761
556	21.36925206
557	21.32409568
558	21.28613078
559	21.24341383
560	21.21449993
561	21.17126512
562	21.08319932
563	21.04466084
564	21.00586414
565	20.9275788
566	20.85611601
567	20.81914474
568	20.79556114
569	20.76681899
570	20.7205196
571	20.67529946
572	20.61082984
573	20.58644236
574	20.5429922
575	20.53622541
576	20.51031923
577	20.48259949
578	20.41900992
579	20.39003
580	20.34555893
581	20.27261051
582	20.21755487
583	20.19315239
584	20.13923972
585	20.13218656
586	20.12656306
587	20.05894763
588	19.98660675
589	19.92400742
590	19.87780853
591	19.83980959
592	19.81476122
593	19.77930816
594	19.76278964
595	19.72114348
596	19.68770766
597	19.61599282
598	19.6059307
599	19.59954478
600	19.59350269
601	19.57721299
602	19.54536233
603	19.48556294
604	19.47973621
605	19.44882032
606	19.40088838
607	19.35631905
608	19.33263719
609	19.29757697
610	19.29039933
611	19.26682082
612	19.20856997
613	19.16732857
614	19.15988407
615	19.13625044
616	19.08758055
617	19.04887351
618	19.0144635
619	18.97503844
620	18.93228567
621	18.89907976
622	18.89359251
623	18.82990179
624	18.82329302
625	18.81800756
626	18.78652572
627	18.7680493
628	18.71215281
629	18.68734086
630	18.68281707
631	18.65814857
632	18.62950382
633	18.60801016
634	18.5757813
635	18.56391943
636	18.49665193
637	18.45536591
638	18.4392048
639	18.41665488
640	18.38589805
641	18.33571275
642	18.31952846
643	18.29285827
644	18.28773476
645	18.28262602
646	18.26029309
647	18.23059884
648	18.20716513
649	18.20219892
650	18.18188509
651	18.15922111
652	18.13816673
653	18.09664906
654	18.08955815
655	18.05725635
656	18.01934717
657	18.01150066
658	17.96214951
659	17.92062545
660	17.90049947
661	17.88697157
662	17.88143448
663	17.85974525
664	17.82555282
665	17.80134523
666	17.76093662
667	17.75457946
668	17.708638
669	17.68072876
670	17.67555638
671	17.62942329
672	17.59253879
673	17.55603971
674	17.52840255
675	17.4647403
676	17.44012465
677	17.39575158
678	17.39054129
679	17.35676709
680	17.30945995
681	17.28816697
682	17.25516743
683	17.25082079
684	17.21837166
685	17.1917321
686	17.15059929
687	17.1244075
688	17.07935609
689	17.05563453
690	17.02880731
691	16.97052472
692	16.93713228
693	16.91583352
694	16.88299364
695	16.84797937
696	16.84187961
697	16.78855595
698	16.76574499
699	16.74079961
700	16.71941604
701	16.67452007
702	16.63999282
703	16.63252752
704	16.62334795
705	16.58035075
706	16.54000184
707	16.48291026
708	16.46502161
709	16.42321562
710	16.4084041
711	16.35488664
712	16.32684552
713	16.29258016
714	16.2421433
715	16.20080698
716	16.17362516
717	16.14159051
718	16.1239309
719	16.08999721
720	16.08370086
721	16.07288737
722	16.05175733
723	16.0379378
724	16.01006509
725	15.97249818
726	15.93687951
727	15.8863393
728	15.85978547
729	15.81873649
730	15.78607497
731	15.75510699
732	15.74783991
733	15.73602257
734	15.71231981
735	15.69068635
736	15.66851018
737	15.66060409
738	15.63041918
739	15.59332202
740	15.55482779
741	15.52766054
742	15.52194816
743	15.49262482
744	15.47344103
745	15.46907086
746	15.44112419
747	15.41836909
748	15.40202385
749	15.37372967
750	15.34516013
751	15.33939834
752	15.29502623
753	15.26647092
754	15.21117392
755	15.20569655
756	15.17261576
757	15.13475895
758	15.10393892
759	15.07789513
760	15.06219257
761	15.05268869
762	15.01429773
763	15.01020878
764	15.00625955
765	14.9738112
766	14.96013388
767	14.93071591
768	14.89645486
769	14.86476829
770	14.8414429
771	14.80913246
772	14.80253759
773	14.7790902
774	14.75685828
775	14.74491713
776	14.73170788
777	14.70400235
778	14.67365011
779	14.66971211
780	14.63813465
781	14.61244748
782	14.60866547
783	14.58093388
784	14.5505402
785	14.52100601
786	14.50424093
787	14.49892432
788	14.46503778
789	14.44531681
790	14.41388399
791	14.38779895
792	14.38061152
793	14.35740093
794	14.35269019
795	14.32067901
796	14.27801632
797	14.27338859
798	14.25662733
799	14.25271107
800	14.22678831
801	14.20861475
802	14.20450127
803	14.182933
804	14.16325269
805	14.1609136
806	14.15749299
807	14.09964594
808	14.06107999
809	14.0567938
810	14.02955811
811	14.00651563
812	13.99795482
813	13.98706106
814	13.98446518
815	13.97826606
816	13.96196961
817	13.94835652
818	13.93444306
819	13.93209176
820	13.92165558
821	13.90412295
822	13.89435641
823	13.8918884
824	13.88370009
825	13.85219907
826	13.83146162
827	13.81547238
828	13.80792835
829	13.78476171
830	13.76264673
831	13.75964855
832	13.75094685
833	13.71064265
834	13.68643245
835	13.664663
836	13.64420562
837	13.61882652
838	13.61247498
839	13.59843107
840	13.57427257
841	13.53022387
842	13.52674878
843	13.50502253
844	13.4823458
845	13.47979387
846	13.4721753
847	13.46864895
848	13.43270274
849	13.41292933
850	13.37161513
851	13.36272728
852	13.35679636
853	13.33419421
854	13.31186859
855	13.30986328
856	13.30573357
857	13.28459315
858	13.28214724
859	13.25137653
860	13.23517358
861	13.210279
862	13.18694907
863	13.16199681
864	13.12780026
865	13.1107647
866	13.10270987
867	13.09647141
868	13.0895783
869	13.08784905
870	13.08608107
871	13.06872424
872	13.04893785
873	13.04605262
874	13.03511262
875	13.01356963
876	12.97130053
877	12.96902733
878	12.94862328
879	12.92747968
880	12.92312449
881	12.89761739
882	12.87494872
883	12.872992
884	12.86261995
885	12.84778167
886	12.82385221
887	12.80433852
888	12.77170711
889	12.75490806
890	12.71092956
891	12.69233146
892	12.67554849
893	12.66481617
894	12.66116088
895	12.64648329
896	12.63378186
897	12.61576263
898	12.60045815
899	12.58048304
900	12.56725235
901	12.54693469
902	12.54345651
903	12.52249359
904	12.50859385
905	12.48802318
906	12.46650996
907	12.43437518
908	12.41541225
909	12.38101876
910	12.35065147
911	12.32866521
912	12.32682321
913	12.30261148
914	12.26570117
915	12.26235942
916	12.24810957
917	12.21539433
918	12.19377715
919	12.19254726
920	12.18274298
921	12.16069917
922	12.15546447
923	12.15195424
924	12.13154783
925	12.12191371
926	12.11378613
927	12.10443335
928	12.07640959
929	12.07338187
930	12.05321781
931	12.03705275
932	12.02481929
933	11.99856832
934	11.98281971
935	11.95773274
936	11.93928078
937	11.93133026
938	11.90287601
939	11.87688107
940	11.86726584
941	11.83259692
942	11.8103892
943	11.79566951
944	11.77382569
945	11.75348977
946	11.73976552
947	11.70364741
948	11.68070681
949	11.66173288
950	11.64241838
951	11.61762267
952	11.59568202
953	11.57365474
954	11.55471682
955	11.54540373
956	11.52546761
957	11.52126446
958	11.50536569
959	11.50320802
960	11.5019835
961	11.48791641
962	11.47264901
963	11.46160476
964	11.42793625
965	11.42546633
966	11.41448528
967	11.39799938
968	11.39246264
969	11.37082484
970	11.35581116
971	11.33532593
972	11.33097874
973	11.31840527
974	11.31695478
975	11.30462763
976	11.28325798
977	11.26818352
978	11.26403186
979	11.24575782
980	11.22789439
981	11.21245114
982	11.20059131
983	11.18062811
984	11.17504309
985	11.1493227
986	11.13043676
987	11.1174716
988	11.10806194
989	11.10199918
990	11.09931935
991	11.07651082
992	11.06869224
993	11.05320736
994	11.04957157
995	11.02604975
996	11.01460135
997	10.98599253
998	10.97996464
999	10.97077163
